id_venda;sk_cliente;sk_produto;canal_venda;campanha;data_venda;quantidade;desconto
67;93;103;whatsapp;compre dois e leve 3;2024-01-19;2;0.0
68;78;106;whatsapp;compre dois e leve 3;2024-01-18;2;0.0
69;30;107;instagram;sem campanha;2024-01-20;1;0.0
70;21;104;whatsapp;sem campanha;2024-01-17;1;0.0
71;21;102;loja;sem campanha;2024-01-20;1;0.0
72;18;103;site;sem campanha;2024-01-22;1;0.0
73;62;104;loja;sem campanha;2024-01-14;1;0.0
74;63;100;site;compre dois e leve 3;2024-01-14;2;0.0
75;39;106;instagram;sem campanha;2024-01-09;1;0.0
76;74;106;instagram;compre dois e leve 3;2024-01-25;2;0.0
77;16;105;instagram;24 horas pela metade do preço;2024-01-07;1;0.5
78;50;104;instagram;sem campanha;2024-01-01;1;0.0
79;1;102;site;sem campanha;2024-01-24;1;0.0
80;44;100;site;sem campanha;2024-01-22;1;0.0
81;35;102;site;sem campanha;2024-01-10;1;0.0
82;94;100;instagram;compre dois e leve 3;2024-01-01;2;0.0
83;83;103;instagram;sem campanha;2024-01-27;1;0.0
84;71;104;loja;sem campanha;2024-01-12;1;0.0
85;40;103;instagram;sem campanha;2024-01-09;1;0.0
86;89;101;loja;24 horas pela metade do preço;2024-01-20;1;0.5
87;64;102;site;compre dois e leve 3;2024-01-10;2;0.0
88;28;100;loja;sem campanha;2024-01-22;1;0.0
89;28;107;loja;compre dois e leve 3;2024-01-03;2;0.0
90;50;107;loja;sem campanha;2024-01-22;1;0.0
91;22;100;site;compre dois e leve 3;2024-01-02;2;0.0
92;70;107;loja;24 horas pela metade do preço;2024-01-14;1;0.5
93;27;102;site;sem campanha;2024-01-06;1;0.0
94;36;107;instagram;sem campanha;2024-01-05;1;0.0
95;4;108;site;24 horas pela metade do preço;2024-01-21;1;0.5
96;40;108;loja;24 horas pela metade do preço;2024-01-01;1;0.5
97;51;106;site;24 horas pela metade do preço;2024-01-27;1;0.5
98;68;105;whatsapp;24 horas pela metade do preço;2024-01-19;1;0.5
99;3;102;whatsapp;24 horas pela metade do preço;2024-01-15;1;0.5
100;16;108;site;sem campanha;2024-01-01;1;0.0
101;5;107;loja;sem campanha;2024-01-08;1;0.0
102;5;107;whatsapp;24 horas pela metade do preço;2024-01-11;1;0.5
103;98;105;whatsapp;sem campanha;2024-01-09;1;0.0
104;67;102;site;sem campanha;2024-01-14;1;0.0
105;14;100;instagram;sem campanha;2024-01-23;1;0.0
106;62;106;loja;24 horas pela metade do preço;2024-01-17;1;0.5
107;61;103;site;24 horas pela metade do preço;2024-01-13;1;0.5
108;22;104;site;sem campanha;2024-01-24;1;0.0
109;15;102;site;compre dois e leve 3;2024-01-21;2;0.0
110;35;106;loja;sem campanha;2024-01-27;1;0.0
111;97;108;whatsapp;24 horas pela metade do preço;2024-01-22;1;0.5
112;79;106;site;sem campanha;2024-01-27;1;0.0
113;69;108;instagram;sem campanha;2024-01-19;1;0.0
114;20;101;site;compre dois e leve 3;2024-01-10;2;0.0
115;93;100;instagram;sem campanha;2024-01-23;1;0.0
116;26;106;site;24 horas pela metade do preço;2024-01-04;1;0.5
117;92;105;instagram;sem campanha;2024-01-17;1;0.0
118;13;104;instagram;sem campanha;2024-01-01;1;0.0
119;36;104;loja;compre dois e leve 3;2024-01-10;2;0.0
120;23;104;whatsapp;24 horas pela metade do preço;2024-01-03;1;0.5
121;70;103;site;sem campanha;2024-01-09;1;0.0
122;1;105;whatsapp;sem campanha;2024-01-20;1;0.0
123;22;100;site;sem campanha;2024-01-04;1;0.0
124;31;101;whatsapp;compre dois e leve 3;2024-01-02;2;0.0
125;34;107;instagram;24 horas pela metade do preço;2024-01-18;1;0.5
126;33;102;site;sem campanha;2024-01-24;1;0.0
127;47;103;instagram;sem campanha;2024-01-03;1;0.0
128;43;103;loja;24 horas pela metade do preço;2024-01-23;1;0.5
129;34;104;instagram;compre dois e leve 3;2024-01-27;2;0.0
130;12;100;instagram;24 horas pela metade do preço;2024-01-24;1;0.5
131;53;106;site;compre dois e leve 3;2024-01-04;2;0.0
132;39;105;loja;sem campanha;2024-01-27;1;0.0
133;87;108;whatsapp;24 horas pela metade do preço;2024-01-17;1;0.5
134;83;108;loja;compre dois e leve 3;2024-01-20;2;0.0
135;49;104;instagram;sem campanha;2024-01-25;1;0.0
136;16;103;whatsapp;compre dois e leve 3;2024-01-01;2;0.0
137;44;103;instagram;sem campanha;2024-01-20;1;0.0
138;57;108;whatsapp;sem campanha;2024-01-03;1;0.0
139;72;103;whatsapp;compre dois e leve 3;2024-01-25;2;0.0
140;6;102;instagram;24 horas pela metade do preço;2024-01-18;1;0.5
141;45;107;loja;24 horas pela metade do preço;2024-01-17;1;0.5
142;40;101;whatsapp;24 horas pela metade do preço;2024-01-07;1;0.5
143;57;101;instagram;sem campanha;2024-01-18;1;0.0
144;12;102;loja;compre dois e leve 3;2024-01-07;2;0.0
145;85;101;whatsapp;24 horas pela metade do preço;2024-01-27;1;0.5
146;77;102;instagram;compre dois e leve 3;2024-01-27;2;0.0
147;18;105;loja;compre dois e leve 3;2024-01-05;2;0.0
148;48;106;site;24 horas pela metade do preço;2024-01-27;1;0.5
149;99;100;instagram;24 horas pela metade do preço;2024-01-01;1;0.5
150;82;108;loja;24 horas pela metade do preço;2024-01-12;1;0.5
151;1;105;loja;compre dois e leve 3;2024-01-15;2;0.0
152;2;108;instagram;sem campanha;2024-01-01;1;0.0
153;5;104;instagram;sem campanha;2024-01-13;1;0.0
154;95;100;instagram;24 horas pela metade do preço;2024-01-07;1;0.5
155;20;104;loja;sem campanha;2024-01-08;1;0.0
156;48;105;instagram;sem campanha;2024-01-11;1;0.0
157;32;101;loja;sem campanha;2024-01-23;1;0.0
158;28;102;instagram;sem campanha;2024-01-25;1;0.0
159;38;102;loja;sem campanha;2024-01-14;1;0.0
160;84;108;instagram;sem campanha;2024-01-22;1;0.0
161;9;103;loja;sem campanha;2024-01-24;1;0.0
162;71;105;instagram;sem campanha;2024-01-16;1;0.0
163;47;106;site;sem campanha;2024-01-20;1;0.0
164;7;108;instagram;sem campanha;2024-01-06;1;0.0
165;73;103;whatsapp;sem campanha;2024-01-25;1;0.0
166;12;105;instagram;sem campanha;2024-01-03;1;0.0
167;2;108;whatsapp;sem campanha;2024-01-27;1;0.0
168;19;104;site;sem campanha;2024-01-04;1;0.0
169;47;102;instagram;sem campanha;2024-01-18;1;0.0
170;36;104;instagram;sem campanha;2024-01-24;1;0.0
171;96;105;whatsapp;sem campanha;2024-01-10;1;0.0
172;46;106;loja;compre dois e leve 3;2024-01-13;2;0.0
173;97;100;site;sem campanha;2024-01-12;1;0.0
174;74;101;instagram;sem campanha;2024-01-21;1;0.0
175;72;105;instagram;sem campanha;2024-01-04;1;0.0
176;2;105;instagram;sem campanha;2024-01-01;1;0.0
177;39;102;site;compre dois e leve 3;2024-01-13;2;0.0
178;85;105;whatsapp;24 horas pela metade do preço;2024-01-20;1;0.5
179;66;106;whatsapp;24 horas pela metade do preço;2024-01-20;1;0.5
180;81;104;site;sem campanha;2024-01-27;1;0.0
181;22;106;instagram;sem campanha;2024-01-22;1;0.0
182;67;101;instagram;sem campanha;2024-01-01;1;0.0
183;26;106;whatsapp;sem campanha;2024-01-18;1;0.0
184;5;105;instagram;sem campanha;2024-01-03;1;0.0
185;52;101;whatsapp;24 horas pela metade do preço;2024-01-19;1;0.5
186;84;104;instagram;compre dois e leve 3;2024-01-23;2;0.0
187;10;105;whatsapp;compre dois e leve 3;2024-01-13;2;0.0
188;37;107;whatsapp;sem campanha;2024-01-03;1;0.0
189;78;107;instagram;sem campanha;2024-01-16;1;0.0
190;35;108;site;compre dois e leve 3;2024-01-14;2;0.0
191;61;105;whatsapp;compre dois e leve 3;2024-01-09;2;0.0
192;82;106;loja;24 horas pela metade do preço;2024-01-17;1;0.5
193;71;105;loja;24 horas pela metade do preço;2024-01-09;1;0.5
194;52;108;loja;compre dois e leve 3;2024-01-14;2;0.0
195;12;107;whatsapp;compre dois e leve 3;2024-01-21;2;0.0
196;33;104;site;sem campanha;2024-01-13;1;0.0
197;80;100;whatsapp;24 horas pela metade do preço;2024-01-12;1;0.5
198;10;106;whatsapp;compre dois e leve 3;2024-01-22;2;0.0
199;35;102;instagram;24 horas pela metade do preço;2024-01-07;1;0.5
200;59;106;instagram;compre dois e leve 3;2024-01-18;2;0.0
201;26;103;loja;sem campanha;2024-01-07;1;0.0
202;50;103;instagram;sem campanha;2024-01-08;1;0.0
203;63;103;site;compre dois e leve 3;2024-01-09;2;0.0
204;35;108;instagram;24 horas pela metade do preço;2024-01-13;1;0.5
205;8;104;whatsapp;compre dois e leve 3;2024-01-08;2;0.0
206;59;107;whatsapp;compre dois e leve 3;2024-01-16;2;0.0
207;21;105;whatsapp;compre dois e leve 3;2024-01-21;2;0.0
208;58;101;loja;24 horas pela metade do preço;2024-01-27;1;0.5
209;15;107;loja;24 horas pela metade do preço;2024-01-06;1;0.5
210;25;104;site;sem campanha;2024-01-10;1;0.0
211;56;106;instagram;compre dois e leve 3;2024-01-03;2;0.0
212;76;108;whatsapp;compre dois e leve 3;2024-01-16;2;0.0
213;68;103;site;compre dois e leve 3;2024-01-10;2;0.0
214;18;102;whatsapp;sem campanha;2024-01-22;1;0.0
215;60;101;instagram;sem campanha;2024-01-21;1;0.0
216;54;101;whatsapp;24 horas pela metade do preço;2024-01-25;1;0.5
217;97;100;whatsapp;compre dois e leve 3;2024-01-05;2;0.0
218;34;107;loja;24 horas pela metade do preço;2024-01-13;1;0.5
219;32;101;whatsapp;24 horas pela metade do preço;2024-01-04;1;0.5
220;46;102;loja;sem campanha;2024-01-08;1;0.0
221;31;108;whatsapp;sem campanha;2024-01-03;1;0.0
222;66;101;instagram;sem campanha;2024-01-01;1;0.0
223;80;105;site;24 horas pela metade do preço;2024-01-11;1;0.5
224;50;104;whatsapp;sem campanha;2024-01-06;1;0.0
225;73;103;site;compre dois e leve 3;2024-01-02;2;0.0
226;4;106;loja;compre dois e leve 3;2024-01-17;2;0.0
227;95;106;whatsapp;sem campanha;2024-01-23;1;0.0
228;90;103;whatsapp;compre dois e leve 3;2024-01-20;2;0.0
229;44;101;whatsapp;sem campanha;2024-01-01;1;0.0
230;43;100;loja;24 horas pela metade do preço;2024-01-21;1;0.5
231;20;101;loja;sem campanha;2024-01-22;1;0.0
232;6;105;site;24 horas pela metade do preço;2024-01-22;1;0.5
233;59;107;whatsapp;compre dois e leve 3;2024-01-10;2;0.0
234;11;100;loja;sem campanha;2024-01-13;1;0.0
235;45;104;whatsapp;sem campanha;2024-01-10;1;0.0
236;36;108;site;24 horas pela metade do preço;2024-01-01;1;0.5
237;14;102;whatsapp;compre dois e leve 3;2024-01-13;2;0.0
238;58;101;whatsapp;24 horas pela metade do preço;2024-01-04;1;0.5
239;51;105;site;24 horas pela metade do preço;2024-01-02;1;0.5
240;96;101;whatsapp;sem campanha;2024-01-24;1;0.0
241;52;103;site;24 horas pela metade do preço;2024-01-15;1;0.5
242;82;101;loja;24 horas pela metade do preço;2024-01-12;1;0.5
243;82;103;loja;compre dois e leve 3;2024-01-09;2;0.0
244;17;105;loja;compre dois e leve 3;2024-01-24;2;0.0
245;16;101;instagram;24 horas pela metade do preço;2024-01-25;1;0.5
246;1;107;whatsapp;sem campanha;2024-01-16;1;0.0
247;88;103;whatsapp;24 horas pela metade do preço;2024-01-13;1;0.5
248;60;100;whatsapp;sem campanha;2024-01-03;1;0.0
249;49;107;loja;sem campanha;2024-01-24;1;0.0
250;16;106;whatsapp;compre dois e leve 3;2024-01-06;2;0.0
251;46;103;whatsapp;sem campanha;2024-01-13;1;0.0
252;42;106;whatsapp;compre dois e leve 3;2024-01-16;2;0.0
253;48;108;site;sem campanha;2024-01-05;1;0.0
254;15;108;site;sem campanha;2024-01-13;1;0.0
255;9;103;loja;sem campanha;2024-01-15;1;0.0
256;46;104;whatsapp;sem campanha;2024-01-05;1;0.0
257;19;106;loja;compre dois e leve 3;2024-01-10;2;0.0
258;69;101;loja;24 horas pela metade do preço;2024-01-24;1;0.5
259;87;108;loja;sem campanha;2024-01-05;1;0.0
260;51;101;instagram;sem campanha;2024-01-19;1;0.0
261;46;101;whatsapp;sem campanha;2024-01-24;1;0.0
262;51;106;loja;24 horas pela metade do preço;2024-01-06;1;0.5
263;87;105;site;24 horas pela metade do preço;2024-01-09;1;0.5
264;53;103;loja;24 horas pela metade do preço;2024-01-01;1;0.5
265;40;102;instagram;sem campanha;2024-01-15;1;0.0
266;51;108;loja;sem campanha;2024-01-06;1;0.0
267;31;101;whatsapp;compre dois e leve 3;2024-01-26;2;0.0
268;99;103;whatsapp;24 horas pela metade do preço;2024-01-22;1;0.5
269;18;103;instagram;compre dois e leve 3;2024-01-05;2;0.0
270;13;106;whatsapp;24 horas pela metade do preço;2024-01-13;1;0.5
271;83;101;loja;sem campanha;2024-01-01;1;0.0
272;80;102;loja;sem campanha;2024-01-22;1;0.0
273;66;106;whatsapp;compre dois e leve 3;2024-01-24;2;0.0
274;30;104;instagram;24 horas pela metade do preço;2024-01-10;1;0.5
275;16;102;whatsapp;compre dois e leve 3;2024-01-27;2;0.0
276;83;105;whatsapp;sem campanha;2024-01-27;1;0.0
277;24;101;site;compre dois e leve 3;2024-01-08;2;0.0
278;46;100;site;sem campanha;2024-01-18;1;0.0
279;84;102;whatsapp;sem campanha;2024-01-25;1;0.0
280;78;107;instagram;24 horas pela metade do preço;2024-01-06;1;0.5
281;92;105;site;24 horas pela metade do preço;2024-01-23;1;0.5
282;81;106;site;sem campanha;2024-01-13;1;0.0
283;20;104;site;sem campanha;2024-01-17;1;0.0
284;80;101;instagram;sem campanha;2024-01-06;1;0.0
285;90;102;instagram;sem campanha;2024-01-16;1;0.0
286;71;104;loja;24 horas pela metade do preço;2024-01-09;1;0.5
287;11;106;loja;24 horas pela metade do preço;2024-01-02;1;0.5
288;65;104;site;sem campanha;2024-01-02;1;0.0
289;78;104;loja;sem campanha;2024-01-25;1;0.0
290;94;101;loja;sem campanha;2024-01-06;1;0.0
291;95;105;loja;24 horas pela metade do preço;2024-01-16;1;0.5
292;69;102;whatsapp;compre dois e leve 3;2024-01-23;2;0.0
293;2;100;site;24 horas pela metade do preço;2024-01-12;1;0.5
294;9;101;instagram;24 horas pela metade do preço;2024-01-04;1;0.5
295;21;108;whatsapp;compre dois e leve 3;2024-01-08;2;0.0
296;1;104;instagram;sem campanha;2024-01-05;1;0.0
297;20;100;whatsapp;sem campanha;2024-01-23;1;0.0
298;29;104;site;sem campanha;2024-01-13;1;0.0
299;17;101;instagram;compre dois e leve 3;2024-01-22;2;0.0
300;83;101;whatsapp;sem campanha;2024-01-24;1;0.0
301;83;100;loja;24 horas pela metade do preço;2024-01-16;1;0.5
302;90;101;site;24 horas pela metade do preço;2024-01-09;1;0.5
303;9;105;instagram;sem campanha;2024-01-17;1;0.0
304;43;106;site;24 horas pela metade do preço;2024-01-11;1;0.5
305;60;105;loja;compre dois e leve 3;2024-01-19;2;0.0
306;25;106;whatsapp;24 horas pela metade do preço;2024-01-22;1;0.5
307;38;103;whatsapp;24 horas pela metade do preço;2024-01-06;1;0.5
308;37;103;site;sem campanha;2024-01-17;1;0.0
309;73;107;loja;compre dois e leve 3;2024-01-23;2;0.0
310;83;101;site;sem campanha;2024-01-03;1;0.0
311;8;104;loja;compre dois e leve 3;2024-01-21;2;0.0
312;90;105;whatsapp;24 horas pela metade do preço;2024-01-02;1;0.5
313;47;107;instagram;sem campanha;2024-01-12;1;0.0
314;93;108;loja;sem campanha;2024-01-07;1;0.0
315;70;104;instagram;sem campanha;2024-01-26;1;0.0
316;78;106;whatsapp;24 horas pela metade do preço;2024-01-21;1;0.5
317;94;107;whatsapp;sem campanha;2024-01-16;1;0.0
318;60;105;instagram;compre dois e leve 3;2024-01-21;2;0.0
319;4;105;site;compre dois e leve 3;2024-01-08;2;0.0
320;64;103;instagram;compre dois e leve 3;2024-01-24;2;0.0
321;73;105;site;24 horas pela metade do preço;2024-01-17;1;0.5
322;9;105;instagram;sem campanha;2024-01-19;1;0.0
323;92;104;loja;sem campanha;2024-01-10;1;0.0
324;24;104;instagram;24 horas pela metade do preço;2024-01-15;1;0.5
325;99;107;site;sem campanha;2024-01-12;1;0.0
326;71;104;loja;sem campanha;2024-01-15;1;0.0
327;83;102;loja;compre dois e leve 3;2024-01-22;2;0.0
328;85;104;loja;compre dois e leve 3;2024-01-19;2;0.0
329;10;104;instagram;sem campanha;2024-01-11;1;0.0
330;85;105;loja;24 horas pela metade do preço;2024-01-11;1;0.5
331;5;103;site;sem campanha;2024-01-19;1;0.0
332;20;100;loja;sem campanha;2024-01-16;1;0.0
333;56;103;whatsapp;24 horas pela metade do preço;2024-01-12;1;0.5
334;71;107;instagram;compre dois e leve 3;2024-01-25;2;0.0
335;77;103;site;sem campanha;2024-01-11;1;0.0
336;37;104;instagram;sem campanha;2024-01-06;1;0.0
337;63;101;loja;compre dois e leve 3;2024-01-16;2;0.0
338;63;106;site;24 horas pela metade do preço;2024-01-17;1;0.5
339;18;101;site;compre dois e leve 3;2024-01-01;2;0.0
340;4;105;site;sem campanha;2024-01-03;1;0.0
341;30;105;site;sem campanha;2024-01-22;1;0.0
342;74;102;whatsapp;compre dois e leve 3;2024-01-11;2;0.0
343;75;104;whatsapp;compre dois e leve 3;2024-01-08;2;0.0
344;97;107;site;sem campanha;2024-01-16;1;0.0
345;28;104;instagram;sem campanha;2024-01-25;1;0.0
346;75;104;instagram;compre dois e leve 3;2024-01-09;2;0.0
347;44;101;instagram;sem campanha;2024-01-14;1;0.0
348;20;103;loja;compre dois e leve 3;2024-01-04;2;0.0
349;56;100;site;sem campanha;2024-01-02;1;0.0
350;73;102;loja;compre dois e leve 3;2024-01-07;2;0.0
351;6;107;whatsapp;compre dois e leve 3;2024-01-15;2;0.0
352;22;106;loja;24 horas pela metade do preço;2024-01-19;1;0.5
353;72;105;instagram;compre dois e leve 3;2024-01-17;2;0.0
354;72;102;instagram;24 horas pela metade do preço;2024-01-23;1;0.5
355;25;100;whatsapp;sem campanha;2024-01-10;1;0.0
356;75;108;site;compre dois e leve 3;2024-01-25;2;0.0
357;3;102;site;compre dois e leve 3;2024-01-18;2;0.0
358;10;102;loja;sem campanha;2024-01-19;1;0.0
359;36;103;instagram;sem campanha;2024-01-08;1;0.0
360;28;102;instagram;24 horas pela metade do preço;2024-01-08;1;0.5
361;12;104;loja;sem campanha;2024-01-25;1;0.0
362;33;102;site;sem campanha;2024-01-06;1;0.0
363;30;102;loja;sem campanha;2024-01-26;1;0.0
364;20;100;site;24 horas pela metade do preço;2024-01-08;1;0.5
365;7;106;instagram;sem campanha;2024-01-20;1;0.0
366;33;100;loja;24 horas pela metade do preço;2024-01-21;1;0.5
367;92;107;loja;24 horas pela metade do preço;2024-01-13;1;0.5
368;96;105;instagram;compre dois e leve 3;2024-01-12;2;0.0
369;49;100;whatsapp;sem campanha;2024-01-26;1;0.0
370;32;104;site;compre dois e leve 3;2024-01-20;2;0.0
371;80;101;instagram;compre dois e leve 3;2024-01-21;2;0.0
372;78;101;loja;compre dois e leve 3;2024-01-12;2;0.0
373;4;108;instagram;24 horas pela metade do preço;2024-01-01;1;0.5
374;31;100;loja;sem campanha;2024-01-25;1;0.0
375;88;104;whatsapp;sem campanha;2024-01-03;1;0.0
376;43;108;whatsapp;compre dois e leve 3;2024-01-20;2;0.0
377;16;104;instagram;sem campanha;2024-01-14;1;0.0
378;58;103;whatsapp;compre dois e leve 3;2024-01-20;2;0.0
379;5;103;whatsapp;compre dois e leve 3;2024-01-14;2;0.0
380;63;101;loja;sem campanha;2024-01-16;1;0.0
381;46;100;site;24 horas pela metade do preço;2024-01-16;1;0.5
382;63;100;instagram;24 horas pela metade do preço;2024-01-10;1;0.5
383;56;108;instagram;compre dois e leve 3;2024-01-14;2;0.0
384;74;102;instagram;compre dois e leve 3;2024-01-09;2;0.0
385;62;103;loja;sem campanha;2024-01-03;1;0.0
386;34;108;whatsapp;sem campanha;2024-01-10;1;0.0
387;24;107;whatsapp;compre dois e leve 3;2024-01-02;2;0.0
388;92;101;site;compre dois e leve 3;2024-01-17;2;0.0
389;24;100;instagram;24 horas pela metade do preço;2024-01-22;1;0.5
390;29;106;loja;compre dois e leve 3;2024-01-11;2;0.0
391;5;104;whatsapp;24 horas pela metade do preço;2024-01-18;1;0.5
392;3;100;site;sem campanha;2024-01-21;1;0.0
393;52;107;loja;24 horas pela metade do preço;2024-01-21;1;0.5
394;78;102;whatsapp;compre dois e leve 3;2024-01-10;2;0.0
395;53;106;loja;sem campanha;2024-01-24;1;0.0
396;23;104;instagram;sem campanha;2024-01-10;1;0.0
397;77;100;loja;compre dois e leve 3;2024-01-19;2;0.0
398;76;107;site;compre dois e leve 3;2024-01-01;2;0.0
399;49;101;loja;compre dois e leve 3;2024-01-11;2;0.0
400;80;102;whatsapp;sem campanha;2024-01-04;1;0.0
401;75;102;loja;compre dois e leve 3;2024-01-01;2;0.0
402;2;103;site;24 horas pela metade do preço;2024-01-20;1;0.5
403;14;105;loja;compre dois e leve 3;2024-01-14;2;0.0
404;9;103;instagram;sem campanha;2024-01-04;1;0.0
405;34;103;instagram;sem campanha;2024-01-02;1;0.0
406;64;106;loja;sem campanha;2024-01-10;1;0.0
407;96;107;loja;24 horas pela metade do preço;2024-01-20;1;0.5
408;25;105;instagram;sem campanha;2024-01-01;1;0.0
409;94;101;whatsapp;compre dois e leve 3;2024-01-17;2;0.0
410;45;107;whatsapp;sem campanha;2024-01-10;1;0.0
411;60;102;loja;compre dois e leve 3;2024-01-22;2;0.0
412;42;100;site;sem campanha;2024-01-03;1;0.0
413;37;105;site;compre dois e leve 3;2024-01-11;2;0.0
414;29;106;instagram;compre dois e leve 3;2024-01-13;2;0.0
415;68;103;whatsapp;24 horas pela metade do preço;2024-01-16;1;0.5
416;40;105;whatsapp;sem campanha;2024-01-06;1;0.0
417;83;106;site;sem campanha;2024-01-05;1;0.0
418;5;108;whatsapp;sem campanha;2024-01-13;1;0.0
419;35;103;instagram;compre dois e leve 3;2024-01-20;2;0.0
420;25;105;loja;sem campanha;2024-01-24;1;0.0
421;45;104;instagram;compre dois e leve 3;2024-01-22;2;0.0
422;58;103;loja;24 horas pela metade do preço;2024-01-11;1;0.5
423;59;104;site;24 horas pela metade do preço;2024-01-16;1;0.5
424;38;108;site;compre dois e leve 3;2024-01-06;2;0.0
425;16;100;site;sem campanha;2024-01-18;1;0.0
426;47;105;instagram;sem campanha;2024-01-08;1;0.0
427;20;107;site;sem campanha;2024-01-17;1;0.0
428;23;106;site;compre dois e leve 3;2024-01-08;2;0.0
429;39;106;site;24 horas pela metade do preço;2024-01-04;1;0.5
430;78;104;whatsapp;sem campanha;2024-01-19;1;0.0
431;24;103;loja;sem campanha;2024-01-09;1;0.0
432;90;107;site;sem campanha;2024-01-22;1;0.0
433;24;104;whatsapp;24 horas pela metade do preço;2024-01-19;1;0.5
434;44;107;loja;sem campanha;2024-01-06;1;0.0
435;79;101;loja;compre dois e leve 3;2024-01-06;2;0.0
436;87;103;site;sem campanha;2024-01-08;1;0.0
437;58;102;instagram;sem campanha;2024-01-25;1;0.0
438;38;103;instagram;compre dois e leve 3;2024-01-25;2;0.0
439;7;105;loja;sem campanha;2024-01-01;1;0.0
440;57;100;site;sem campanha;2024-01-08;1;0.0
441;22;102;instagram;sem campanha;2024-01-16;1;0.0
